species,slug,taxon_id,photo_id,source,lat,lon,split,common_name,photo_license,photo_attribution,observation_uuid,source_url,sha256,provenance_status
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677457937,inat_api,42.2686042786,-83.0700302124,val,Eastern Black Carpenter Ant,,,bc2814f4-ed24-4686-8877-f7fa9cd215b0,,7e49599237be893053b9da4e0e8a4a4f925365fa678891278f5c18635fc8ba5e,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677415462,inat_api,40.01644947,-83.09670927,train,Eastern Black Carpenter Ant,,,8e82b567-40fe-40fd-92f0-f31e390ed57d,,929b835623609820f0346c1eb3a848a2af0e1363c50cbd7328a794d8ce8ad730,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677369792,inat_api,44.7075292,-76.3177101997,train,Eastern Black Carpenter Ant,,,f12efed0-a7e0-4ec7-b3f3-aecf2f812296,,fbed4546a58c91df9b6b73a10853606b54ebe01e70f5d78e1b861bfcd9d91843,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677458703,inat_api,40.0265709,-75.0800626,train,Eastern Black Carpenter Ant,,,261c37f7-bb17-4a17-b6a4-efd7c6cc3548,,9fed80f02d69a4f1fd2e486eeaef5dd659ead0e8e61a28210962c15b495d3d0f,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677302240,inat_api,40.426940918,-79.9630432129,train,Eastern Black Carpenter Ant,,,,,1fe61b229dd6718b8424328ea8c168d1784baf4f4e6b709821c020ef7b6dd215,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677412739,inat_api,43.6539616667,-79.4143616667,val,Eastern Black Carpenter Ant,,,303246be-bdb8-4638-a252-ab7cbb1f5591,,48d52de273bdce520870cfa88aa5722b26ae1562b3417e0380b2b978789561c2,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677382997,inat_api,43.6734822293,-79.4338982008,train,Eastern Black Carpenter Ant,,,f2d2cd1c-c7f4-4978-a5b0-64ce2fef2e24,,b8f0eb3cb76cf6bfb40e5cc37e8192a35b15f04c7a07044625c627a14daf06e3,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677322040,inat_api,41.622763914,-72.6506379078,train,Eastern Black Carpenter Ant,,,d5c1d550-8706-4285-988e-4cf78b680bff,,5691bf9195326aa160a0594a5dc45bd21bbc103eeee6fa9fabcf515aedf0608b,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677273861,inat_api,40.7008650099,-73.8554282114,train,Eastern Black Carpenter Ant,,,181af25a-0d7c-45f8-a55e-e8928d62d1fd,,e4aaa4038b07187506c9ed44742fae0f486771811db84d231b1b42c0375d2cbf,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677356894,inat_api,40.1453138333,-83.0498361667,train,Eastern Black Carpenter Ant,,,2616d8e6-3260-4793-bea6-daff40a02ae3,,7d77727cdaf00ce3e59f12f74ab3b667dc148bffc805f573b3ccbc1d549e92e3,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677222396,inat_api,40.4106466667,-74.0076972167,val,Eastern Black Carpenter Ant,,,070d7e19-db11-47fd-abc8-37f1fb63f428,,79b0d0133a422f10d889b0cf1d25b7d053fbee706868c6ccb10d563517e168b1,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677234306,inat_api,43.7001037598,-79.3057098389,train,Eastern Black Carpenter Ant,,,73be4d34-4761-4b8c-9bea-e6a4ed820f19,,17ab3b118797b5a8288f97bff52227a10a451a9e1815643feb417d9b0f51fbab,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677281353,inat_api,43.4124453779,-79.7631910443,train,Eastern Black Carpenter Ant,,,6f6d85ca-8463-4570-a822-29013e29fb17,,ee0f42b25585042cb69e257399cfc8babebb7bdabdeee4f4fbcdbfd26c325248,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677195121,inat_api,42.9777822,-82.4023937,train,Eastern Black Carpenter Ant,,,f5a7064d-0e85-4f16-b816-b1ef1f13c21f,,83363054624e6f1e8900939ff122d1c3d335c205afd8446ae346c244b0095602,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677288616,inat_api,42.4295616667,-72.6563033333,train,Eastern Black Carpenter Ant,,,111e135a-b639-4ce2-a4dc-741df54410f1,,80a2cbdccee768141c7e0ceaf859712471938692a1c0138d92fa02d0df74a5f5,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677200952,inat_api,42.4451953318,-76.4841841534,val,Eastern Black Carpenter Ant,,,d5483ed8-7b26-4580-8b22-2970fc4e7fd0,,de8207edd29fe1681e9837695202bc3d980fa7fbc0f033434c41761874467a50,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677185223,inat_api,35.4889883228,-92.1077030897,train,Eastern Black Carpenter Ant,,,6e7ab55d-5978-47fc-a0ac-187af7dcf0cd,,cd6e5f518c8112d6fc56f2632ae206df352fcc7538ca18b1bbd02bb07a81f2ab,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677217983,inat_api,39.5653716667,-79.4267883333,train,Eastern Black Carpenter Ant,,,d5533060-3851-4c15-8133-6617ddc651a3,,8e8f7a413cbe81654333f3a0e74820cfb1d4d76e7379b4fa6ee67d350cfdab2f,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677206359,inat_api,45.4368633333,-75.6989133333,train,Eastern Black Carpenter Ant,,,0a180b2b-c1e6-49f8-911a-105eb337e267,,73b7ec5be92d273f3b4a4b5076d49f6a03b029fe9d6e3190a61fba8a9cf46391,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677219006,inat_api,45.3758581713,-80.1115420287,train,Eastern Black Carpenter Ant,,,3bf0d358-7f41-4277-a7b3-cf3dc2234ab4,,688f5e9d99b2c133719ef1d73cf8db81e300b147a1de76aff9bc4a91a7a93b27,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677190527,inat_api,43.7811977188,-79.2815983973,val,Eastern Black Carpenter Ant,,,15dc8a29-d30c-4970-80b5-2a49bfa8b578,,aa425117b60e5916d325f3d6157e8c1c7c9582f3509efae2620855ff98a55a54,legacy_partial
Camponotus pennsylvanicus,camponotus-pennsylvanicus,129902,677129926,inat_api,42.3414166667,-71.372405,train,Eastern Black Carpenter Ant,,,793ef5b0-1914-4d85-be1e-7246db5ad83c,,ffdc7f894f9b7ed656bb5695122bf0a7c2b272a78a5605298c876ef77f5eb871,legacy_partial
