queue_index,suggested_session,dataset,slug,split,species,taxon_id,observation_uuid,photo_id,sha256,selection_digest,review_order_digest
0,1,northeast_final_test_v1,camponotus-nearcticus,final_test,Camponotus nearcticus,146942,dd1c98ee-c1e6-4ed3-b2d5-8e352d5ac3f5,298306839,b04d89aa76d1bae6df97572ea2f298cbdf90b06f134b98fff14e18909881f2d3,40bc819693cb8058196959f0530abb6bb669660d8247e70a1f249623c02c85f1,0027321a2409f7fa94ed6d83ca2441490cc61271ebda1f072448210d635db936
1,1,northeast_final_test_v1,nylanderia-flavipes,final_test,Nylanderia flavipes,372712,8562849f-f780-4617-b405-33bee06fbdeb,515838615,8e3e2ae285ee2021f19f57750fb3d017dff11997a45f10709b68a99ae49ce766,96b55b22b7af97e57c5af10914bcc37b69a9fe8fb742074843d01500dbbf3e42,01299f05cf69f94b00bf0a3403a37ae9c9457cf52b07c7482c8266be5459fbe5
2,1,northeast_final_test_v1,ponera-pennsylvanica,final_test,Ponera pennsylvanica,203419,67280a05-0f26-4596-92a0-a2dc130012b9,528921264,38c18cabaf91ed66696f1d5ab920f9a0be0f9e787b6edd56bf84649b9c593a55,618c9cc571d6eb644f893cdcdf34db424d402914b07aed06dfa0efb216445c77,019351d2f113ec608ca83f7f4f2ad82814a19f54889bbb60a36d91784287cd01
3,1,northeast_final_test_v1,lasius-emarginatus,final_test,Lasius emarginatus,341143,49e46a64-cb7b-47cc-b978-d567fa30159a,142641277,39aa504880b5ef3dd60a5a194ad41171d18ffc802990a6e18c4fc2431ea41f8e,8bcda5d318306751733217311c2abb3e5cf24d9a5cf3df6793048deaf7ee72b4,0219b4ea4f9e36e30eae269807e9b0da413fcef4ac0ad86a858a93528514573b
4,1,northeast_final_test_v1,lasius-neoniger,final_test,Lasius neoniger,69311,2295923f-98f8-4b48-b1f8-5c55b069933f,439195900,96da8fc9aa551cf680b11e67577ddc5e68466b4ba81057822abeb294fee95199,d5c544ed7e738267659ceda7e2d45dafdd7a1c89f81e6825a13a7521528cd79b,02705ff815f00ae7d9273443771e7e2bb374d7a290b1d706c6efbe573133b826
5,1,northeast_final_test_v1,camponotus-americanus,final_test,Camponotus americanus,215970,53eeba90-e167-4340-9839-c1f812399077,19404091,aad35e932cbd12295eceba1af31799c68fe1433f56150d27e36f1d50d3505831,8cfb2a467d615d5881d4703f63b1500f3bdd4b1f477c6b2c4acbb18b56f48744,03df9d81a31681dd814e6623147f86d6351838ec75680aa84b37bf1fd685338b
6,1,northeast_final_test_v1,lasius-emarginatus,final_test,Lasius emarginatus,341143,2d408df8-cc77-46a6-a53c-c00e501f4a54,77505153,189a5e58459c1aa7f9c70f16333f0fc2ab28bbbad568eefb23b26de2bb7858a3,08fa2acd2af3041dd5704401bf3c568853eb7c8775ace4dc30cf4b50efd83950,047146c7b3c7c82df4de027febea450cead69ae30997c48e96c139d81cbb795e
7,1,northeast_final_test_v1,camponotus-novaeboracensis,final_test,Camponotus novaeboracensis,143252,f5cdb84e-371a-4b38-9af8-6209ee1e7b6a,505875644,b6ef45589926e05cd469ac00adae366473fe3566d6fb74d49bb34cd783cec82d,04dd8690d919d92ff22d68a9bb4aecb5fc40599ed91e5411c41e1268f55fe6af,04c83182945ad0522178d6ea4ed83ce5b64f311a0f7d0302e55f119a75e9b2ae
8,1,northeast_final_test_v1,lasius-interjectus,final_test,Lasius interjectus,222713,82e448de-4626-4f25-a7d3-3790fea17d5d,330808888,500028eaf77e74516eedc9349f4edcf050ffd04486bb7e76b97d54926b1a7793,263a020e6594f55cf561692eae2aa69cb582b70b105d5ef26edaa5720122e5b7,04e1e6e0c022e3ace2517732ce8ebb4e20e212e538e2377e6a435f6322487eee
9,1,northeast_expansion_v1,lasius-americanus,train,Lasius americanus,966095,29fce4fb-8ed3-40ef-9424-dea11556f2bc,146108228,e94c63398150c4e145df463eac1828239d2d226fa311773fc227b26050d7f4a2,0592d3ec68a847e840ba3e805f552abca7aa9f97ccb812b17a7da9a2ce781630,059b65b0296b5967bb6c71fe668ea3de6710790d2cc1b0cfa4257d91824448e3
